Title,Year/Crew,Rating,Link
1 The Shawshank Redemption (1994),"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.235810136285663,https://www.imdb.com/title/tt0111161/
2 The Godfather (1972),"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.1558518231217,https://www.imdb.com/title/tt0068646/
3 The Dark Knight (2008),"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.991899181311705,https://www.imdb.com/title/tt0468569/
4 The Godfather Part II (1974),"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983826946915398,https://www.imdb.com/title/tt0071562/
5 De 12 gezworenen (1957),"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.953436005789227,https://www.imdb.com/title/tt0050083/
6 Schindler's List (1993),"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.940380101004681,https://www.imdb.com/title/tt0108052/
7 The Lord of the Rings: The Return of the King (2003),"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.932772644667452,https://www.imdb.com/title/tt0167260/
8 Pulp Fiction (1994),"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.846073692627996,https://www.imdb.com/title/tt0110912/
9 The Lord of the Rings: The Fellowship of the Ring (2001),"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811242530961938,https://www.imdb.com/title/tt0120737/
"10 The Good, the Bad and the Ugly (1966)","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.78871143929134,https://www.imdb.com/title/tt0060196/
11 Forrest Gump (1994),"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.76649464490264,https://www.imdb.com/title/tt0109830/
12 Fight Club (1999),"David Fincher (dir.), Brad Pitt, Edward Norton",8.747603558455804,https://www.imdb.com/title/tt0137523/
13 The Lord of the Rings: The Two Towers (2002),"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.736965936537258,https://www.imdb.com/title/tt0167261/
14 Inception (2010),"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732637057526025,https://www.imdb.com/title/tt1375666/
15 Star Wars: Episode V - The Empire Strikes Back (1980),"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.698246583444226,https://www.imdb.com/title/tt0080684/
16 The Matrix (1999),"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669178876953165,https://www.imdb.com/title/tt0133093/
17 Goodfellas (1990),"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.653386349657612,https://www.imdb.com/title/tt0099685/
18 One Flew Over the Cuckoo's Nest (1975),"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.637650529810436,https://www.imdb.com/title/tt0073486/
19 Seven (1995),"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604599730462443,https://www.imdb.com/title/tt0114369/
20 It's a Wonderful Life (1946),"Frank Capra (dir.), James Stewart, Donna Reed",8.59756662096803,https://www.imdb.com/title/tt0038650/
21 Shichinin no samurai (1954),"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.597549164526722,https://www.imdb.com/title/tt0047478/
22 The Silence of the Lambs (1991),"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.588323638616298,https://www.imdb.com/title/tt0102926/
23 Saving Private Ryan (1998),"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.579847607983838,https://www.imdb.com/title/tt0120815/
24 Cidade de Deus (2002),"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579233501488934,https://www.imdb.com/title/tt0317248/
25 Interstellar (2014),"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.572931486211619,https://www.imdb.com/title/tt0816692/
26 Het leven is mooi (1997),"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.56873916126402,https://www.imdb.com/title/tt0118799/
27 The Green Mile (1999),"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.56376992431189,https://www.imdb.com/title/tt0120689/
28 De sterrenoorlogen (1977),"George Lucas (dir.), Mark Hamill, Harrison Ford",8.547484333414294,https://www.imdb.com/title/tt0076759/
29 Terminator 2: Judgment Day (1991),"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.538285958469126,https://www.imdb.com/title/tt0103064/
30 Back to the Future (1985),"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517922489320425,https://www.imdb.com/title/tt0088763/
31 Spirited Away: De reis van Chihiro (2001),"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.51585041675747,https://www.imdb.com/title/tt0245429/
32 The Pianist (2002),"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.507961814972953,https://www.imdb.com/title/tt0253474/
33 Psycho (1960),"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.506270940277258,https://www.imdb.com/title/tt0054215/
34 Gisaengchung (2019),"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.500318206533466,https://www.imdb.com/title/tt6751668/
35 Léon (1994),"Luc Besson (dir.), Jean Reno, Gary Oldman",8.492243569672345,https://www.imdb.com/title/tt0110413/
36 The Lion King (1994),"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.487744706231522,https://www.imdb.com/title/tt0110357/
37 Gladiator (2000),"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.48722928388556,https://www.imdb.com/title/tt0172495/
38 American History X (1998),"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.481207175830265,https://www.imdb.com/title/tt0120586/
39 The Departed (2006),"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.47626808060446,https://www.imdb.com/title/tt0407887/
40 Whiplash (2014),"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.469427143055281,https://www.imdb.com/title/tt2582802/
41 The Prestige (2006),"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.469326072557989,https://www.imdb.com/title/tt0482571/
42 The Usual Suspects (1995),"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.46864819751717,https://www.imdb.com/title/tt0114814/
